2026-08-09 10:49:35 | INFO     | orders.order_manager         | [2025-03-05 20:00:00] ORDER CREATED: BUY EURUSD target_notional=26.09 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.006)
2026-08-09 10:49:35 | WARNING  | orders.order_manager         | [2025-03-05 20:00:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:35 | INFO     | orders.order_manager         | [2025-03-05 20:30:00] ORDER CREATED: BUY EURUSD target_notional=26.09 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.006)
2026-08-09 10:49:35 | WARNING  | orders.order_manager         | [2025-03-05 20:30:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:35 | INFO     | orders.order_manager         | [2025-03-05 21:00:00] ORDER CREATED: BUY EURUSD target_notional=37.88 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.009)
2026-08-09 10:49:35 | WARNING  | orders.order_manager         | [2025-03-05 21:00:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:35 | INFO     | orders.order_manager         | [2025-03-05 21:30:00] ORDER CREATED: BUY EURUSD target_notional=37.88 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.009)
2026-08-09 10:49:35 | WARNING  | orders.order_manager         | [2025-03-05 21:30:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:35 | INFO     | orders.order_manager         | [2025-03-05 22:00:00] ORDER CREATED: BUY EURUSD target_notional=37.88 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.009)
2026-08-09 10:49:35 | WARNING  | orders.order_manager         | [2025-03-05 22:00:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:35 | INFO     | orders.order_manager         | [2025-03-05 22:30:00] ORDER CREATED: BUY EURUSD target_notional=26.09 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.006)
2026-08-09 10:49:35 | WARNING  | orders.order_manager         | [2025-03-05 22:30:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:35 | INFO     | orders.order_manager         | [2025-03-06 02:00:00] ORDER CREATED: BUY EURUSD target_notional=3.93 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.001)
2026-08-09 10:49:35 | WARNING  | orders.order_manager         | [2025-03-06 02:00:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
